0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,3
0,2,5
0,3,2
0,4,4
1,5,3
1,6,6
1,7,4
2,8,7
2,9,1
3,10,2
3,11,6
3,12,3
4,13,5
4,14,6
5,15,2
5,16,7
6,17,8
6,18,4
7,19,5
7,20,1
8,21,9
8,22,3
9,23,4
9,24,2
10,25,6
10,26,3
11,27,5
11,28,6
12,29,7
12,30,2
13,31,4
13,32,8
14,33,5
14,34,1
15,35,6
15,36,7
16,37,3
16,38,5
17,39,6
17,40,2
18,41,4
18,42,9
19,43,7
19,44,3
20,45,2
20,46,6
21,47,5
21,48,1
22,49,8
23,24,4
23,25,7
24,26,3
25,27,6
26,28,2
27,29,8
28,30,1
29,31,5
30,32,7
31,33,6
32,34,9
33,35,2
34,36,4
35,37,6
36,38,3
37,39,5
38,40,1
39,41,6
40,42,7
41,43,2
42,44,5
43,45,4
44,46,3
45,47,6
46,48,2
47,49,4
