0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,3
0,2,5
1,4,8
2,6,3
2,7,4
3,8,6
3,9,2
4,10,3
5,11,7
5,12,2
6,13,5
7,14,6
8,15,4
8,16,9
9,17,1
10,18,7
10,19,4
11,20,8
12,21,2
13,22,3
14,23,5
15,24,6
16,25,2
17,26,9
18,27,7
19,28,4
20,29,3
21,30,8
22,31,5
23,32,6
24,33,9
25,34,2
26,35,4
27,36,3
28,37,1
29,38,7
30,39,9
31,40,2
32,41,6
33,42,5
34,43,8
35,44,4
36,45,3
37,46,7
38,47,9
39,48,5
40,49,4
41,50,3
42,51,2
43,52,7
44,53,5
45,54,6
46,55,3
47,56,8
48,57,9
49,58,4
50,59,5
51,60,3
52,61,2
53,62,7
54,63,6
55,64,5
56,65,3
57,66,9
58,67,2
59,68,4
60,69,7
61,70,5
62,71,9
63,72,6
64,73,8
65,74,3
66,75,5
67,76,9
68,77,7
69,78,2
70,79,4
71,80,3
72,81,6
73,82,9
74,83,5
75,84,7
76,85,4
77,86,6
78,87,8
79,88,2
80,89,5
81,90,4
82,91,9
83,92,7
84,93,5
85,94,6
86,95,3
87,96,9
88,97,5
89,98,6
90,99,2
91,99,8
92,99,4
93,99,7
94,99,3
95,99,6
96,99,9
97,99,5
98,99,2
